country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,2.5,,1.8,1.5,1.3,1.4,1.52
Albania,,,,,2.3,,,2.5,2.5,2.5,2.4,2.6,2.9,3.4,3.2,3.3,3.05
Algeria,,,,,,,,,2.6,2.7,2.8,3.1,3,3.2,2.8,2.9,2.9
Angola,,,,,,1.7,,1.7,1.8,2,2,2.2,2.2,1.9,1.9,1.9,2.01
Argentina,5.24,3.41,2.81,3,3,3.5,3.5,2.8,2.5,2.5,2.8,2.9,2.9,2.9,2.9,2.9,3
Armenia,,,,,2.5,2.5,,,3,3.1,2.9,2.9,3,2.9,2.7,2.6,2.63
Australia,8.8,8.6,8.86,8.7,8.7,8.3,8.5,8.6,8.8,8.8,8.8,8.7,8.6,8.7,8.7,8.7,8.84
Austria,7.13,7.59,7.61,7.5,7.6,7.7,7.8,7.8,8,8.4,8.7,8.6,8.1,8.1,7.9,7.9,7.79
Azerbaijan,,,,,1.7,1.5,2,2,1.8,1.9,2.2,2.4,2.1,1.9,2.3,2.4,2.38
Bahamas,,,,,,,,,,,,,,,,,7.29
Bahrain,,,,,,,,,6.1,5.8,5.8,5.7,5,5.4,5.1,4.9,5.11
Bangladesh,,2.29,,,,,0.4,1.2,1.3,1.5,1.7,2,2,2.1,2.4,2.4,2.66
Barbados,,,,,,,,,,7.3,6.9,6.7,6.9,7,7.4,7.8,7.77
Belarus,,,,3.9,3.4,4.1,,4.8,4.2,3.3,2.6,2.1,2.1,2,2.4,2.5,2.42
Belgium,,6.84,5.25,5.4,5.3,6.1,6.6,7.1,7.6,7.5,7.4,7.3,7.1,7.3,7.1,7.1,7.49
Belize,,,,,,,,,4.5,3.8,3.7,3.5,3,2.9,,,
Benin,,,,,,,,,,3.2,2.9,2.5,2.7,3.1,2.9,2.8,2.97
Bhutan,,,,,,,,,,,,6,5,5.2,5,5.7,5.74
Bolivia,,3.4,2.05,2.8,2.5,2.7,2,2.2,2.3,2.2,2.5,2.7,2.9,3,2.7,2.8,2.76
Bosnia and Herzegovina,,,,,,,,,3.3,3.1,2.9,2.9,3.3,3.2,3,3.2,3.21
Botswana,,,,6.1,6.1,6,6,6.4,5.7,6,5.9,5.6,5.4,5.8,5.6,5.8,6.08
Brazil,2.7,2.96,3.56,4,4.1,3.9,4,4,3.9,3.9,3.7,3.3,3.5,3.5,3.7,3.7,3.77
Brunei,,,,,,,,,,,,,,,5.5,5.5,5.21
Bulgaria,,,,2.9,3.3,3.5,3.9,4,3.9,4.1,4,4,4.1,3.6,3.8,3.6,3.33
Burkina Faso,,,,,,3,,,,,3.4,3.2,2.9,3.5,3.6,3.1,3.05
Burundi,,,,,,,,,,,2.3,2.4,2.5,1.9,1.8,1.8,1.94
Cambodia,,,,,,,,,,,2.3,2.1,2,1.8,2,2.1,2.11
Cameroon,,2.46,,1.4,1.5,2,2,2.2,1.8,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.45
Canada,8.87,8.96,9.1,9.2,9.2,9.2,8.9,9,8.7,8.5,8.4,8.5,8.7,8.7,8.7,8.9,8.67
Cape Verde,,,,,,,,,,,,,4.9,5.1,5.1,5.1,5.52
Central African Republic,,,,,,,,,,,,2.4,2,2,2,2.1,2.21
Chad,,,,,,,,,,1.7,1.7,2,1.8,1.6,1.6,1.7,2.04
Chile,7.94,6.8,6.05,6.8,6.9,7.4,7.5,7.5,7.4,7.4,7.3,7.3,7,6.9,6.7,7.2,7.21
China,2.16,2.43,2.88,3.5,3.4,3.1,3.5,3.5,3.4,3.4,3.2,3.3,3.5,3.6,3.6,3.5,3.64
Colombia,3.44,2.73,2.23,2.2,2.9,3.2,3.8,3.6,3.7,3.8,4,3.9,3.8,3.8,3.7,3.5,3.45
Comoros,,,,,,,,,,,,,2.6,2.5,2.3,2.1,2.41
"Congo, Dem. Rep.",,,,,,,,,,2,2.1,2,1.9,1.7,1.9,2,2.02
"Congo, Rep.",,,,,,,,,2.2,2.3,2.3,2.2,2.1,1.9,1.9,2.1,2.15
Costa Rica,,,6.45,5.6,5.1,5.4,4.5,4.5,4.3,4.9,4.2,4.1,5,5.1,5.3,5.3,4.8
Cote d'Ivoire,,,,3.1,2.6,2.7,2.4,2.7,2.1,2,1.9,2.1,2.1,2,2.1,2.2,2.23
Croatia,,,,,2.7,3.7,3.9,3.8,3.7,3.5,3.4,3.4,4.1,4.4,4.1,4.1,4.03
Cuba,,,,,,,,,4.6,3.7,3.8,3.5,4.2,4.3,4.4,3.7,4.16
Cyprus,,,,,,,,,6.1,5.4,5.7,5.6,5.3,6.4,6.6,6.3,6.27
Czech Republic,,5.37,5.2,4.8,4.6,4.3,3.9,3.7,3.9,4.2,4.3,4.8,5.2,5.2,4.9,4.6,4.37
Denmark,9.32,9.33,9.94,10,10,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39
Djibouti,,,,,,,,,,,,,2.9,3,2.8,3.2,2.98
