country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.0132,0.0246,0.0094,0.0156,,,0.00157,-0.00813,,0.0324,0.247,0.00517,,,,,,,,,,,,,,,,,,,,0.0276,1.21,1.26,3.54,4.32,3.37,1.92,0.396,0.449,1.2,0.291,0.277,0.238,0.208,0.88,0.481,0.256
Albania,,,,,,,,,,,,,,,,,,,,,,,2.82,4.72,2.67,2.89,2.72,2.01,1.66,1.21,3.94,5.1,3.04,3.1,4.67,3.22,3.62,6.1,9.73,11.2,9.14,8.13,7.45,9.82,8.69,8.69,8.79,7.84
Algeria,1.65,0.0118,0.614,0.585,2.71,0.765,1.05,0.851,0.513,0.0773,0.823,0.0298,-0.118,0.00086,0.00149,0.00069,0.00835,0.00556,0.022,0.0217,0.00054,0.0255,0.0625,,,,0.575,0.54,1.26,0.6,0.511,2.03,1.88,0.94,1.03,1.12,1.57,1.25,1.54,2,1.43,1.29,0.718,0.807,0.703,-0.324,1.03,0.705
Angola,,,,,,,,,,,0.631,0.884,2.09,1.8,1.1,3.68,3.31,1.47,1.49,1.96,-2.98,6.27,3.47,5.24,3.84,8.53,2.4,5.38,17.1,40.2,9.62,24,14,25.2,11.2,-4.62,-0.0902,-1.48,1.99,2.92,-3.91,-2.9,-6.05,-5.7,1.52,9.05,-0.188,-5.96
Antigua and Barbuda,,,,,,,,2.84,-7.85,7.79,14.9,15.2,14,2.75,2.11,6.48,7.78,11.4,8.27,9.82,13.2,11.4,3.94,2.85,4.21,5.45,3.05,3.37,3.13,6.76,5.19,12.3,8.09,19.4,8.74,21.6,31,25.8,11.6,6.59,8.39,5.71,10.7,11.3,3.36,7.05,3.35,3.97
Argentina,0.284,0.377,0.206,0.191,0.0247,0.106,0.478,0.254,0.43,0.297,0.881,1.06,0.269,0.178,0.339,1.04,0.517,-0.0171,0.909,1.34,1.3,1.29,1.94,1.18,1.41,2.17,2.55,3.13,2.44,8.46,3.67,0.806,2.2,1.29,2.51,2.65,2.38,2.25,2.69,1.21,2.68,2.04,2.81,1.78,0.962,1.98,0.588,1.81
Armenia,,,,,,,,,,,,,,,,,,,,,,,0.189,0.0666,0.608,1.72,1.1,3.17,11.7,6.61,5.45,3.3,4.66,4.38,6.91,5.96,7.31,7.25,8.09,8.79,5.72,6.44,4.68,3.11,3.48,1.69,3.21,2.16
Australia,2.18,2.55,2.03,0.231,1.5,0.468,0.994,1.03,1.42,1.11,1.25,1.33,1.22,1.69,0.194,1.14,2.93,2.78,3.13,2.43,2.61,1.33,1.75,1.39,1.55,3.28,1.54,1.76,1.49,0.852,3.59,2.83,3.72,1.93,7.01,-3.62,4.1,5.22,4.29,3.1,3.08,4.7,3.73,3.43,3.14,2.77,3.31,3.41
Austria,0.733,0.799,0.659,0.545,0.503,0.197,0.212,0.188,0.229,0.254,0.292,0.461,0.292,0.3,0.17,0.249,0.188,0.33,0.327,0.441,0.392,0.207,0.739,0.593,1.04,0.788,1.86,1.23,2.13,1.39,4.33,2.99,0.149,2.71,1.29,25.7,3.12,17.7,1.47,3.57,-5.62,5.33,1.27,0.105,0.388,-2.24,-7.66,3.3
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,19.7,28.1,23,11.1,2.46,14.4,32.5,55.1,54.4,33.8,21.4,13.9,8.16,6.55,6.34,6.8,7.6,3.53,5.89,7.63,11.9,7.04
Bahamas,,,,,,,2.27,4.4,-0.132,0.842,0.307,2.41,0.177,-0.346,-0.24,-1.3,-0.534,0.398,1.3,0.83,-0.546,-0.0418,0.00965,0.876,0.718,3.11,2.43,3.32,2.15,1.94,3.1,1.23,1.72,2.14,3.02,5.73,6.95,6.72,8.17,6.65,8.64,6.62,4.91,3.6,2.29,0.645,0.623,7.63
Bahrain,,,,,,,,,,,-13.6,0.12,0.781,1.72,3.6,2.77,-1.05,-1.06,6,4.68,-4.32,13.4,18.3,-5.29,3.74,7.36,33.6,5.19,2.9,6.85,4.01,0.895,2.25,4.67,6.58,6.57,15.8,8.08,6.98,1.12,0.606,2.71,5.02,11.5,4.55,0.208,0.757,1.47
Bangladesh,,,0.00143,0.0289,0.0176,0.00794,0.0536,0.0723,0.058,-0.0515,0.0469,0.0265,0.0376,0.00229,-0.00292,-0.0299,0.0112,0.0132,0.00692,0.00086,0.0103,0.00449,0.0117,0.0424,0.033,0.005,0.0291,0.289,0.38,0.35,0.525,0.145,0.0956,0.446,0.689,1.1,0.636,0.818,1.45,0.879,1.07,0.983,1.19,1.74,1.47,1.45,1.05,0.862
Barbados,,,,,0.54,4.82,1.34,0.837,1.38,0.675,0.275,0.75,0.397,0.294,0.00369,0.342,0.498,0.414,0.634,0.414,0.554,0.369,0.741,0.459,0.602,0.519,0.551,0.581,0.548,0.576,0.622,0.595,0.549,1.78,-0.344,6.11,8.06,9.99,10,10.3,15,8.32,9.39,-0.175,12.1,1.52,5.07,5.97
Belarus,,,,,,,,,,,,,,,,,,,,,,,0.0411,0.108,0.0703,0.105,0.708,2.49,1.33,3.66,0.933,0.775,1.69,0.964,0.708,1.01,0.966,3.99,3.6,3.81,2.44,6.48,2.23,2.97,2.36,2.93,2.61,2.34
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,10.8,12,8.7,14.4,20.5,36.7,17.9,23.1,30,1.34,-5.45,-4.51,-6.4,7.92,-6.31
Belize,13.3,5.64,,,,,,,1.47,-0.0329,,-1.04,,,-1.75,1.77,2.02,2.48,4.45,5.14,4.16,3.06,3.01,1.64,2.65,3.39,2.59,1.83,2.56,7.31,3.55,7.02,2.73,-1.1,10.5,11.4,8.94,10.9,12.4,8.14,6.9,6.41,12.3,5.72,8.28,3.32,1.8,1.39
Benin,2.01,0.836,1.17,0.694,-0.422,0.279,0.351,0.417,0.0811,0.301,0.307,0.162,-0.00096,0.00096,0.00109,-0.00861,0.0823,0.0064,,4.13,3.18,6.08,4.58,0.0617,0.854,0.614,1.5,1.19,1.55,1.46,-0.497,0.624,-0.632,0.272,-0.9,-0.183,-0.24,2.33,0.673,-0.264,0.767,2.06,3.45,3.93,4.17,1.8,1.54,1.99
Bhutan,,,,,,,,,,,,,,,,,,,,,0.534,0.24,,,,0.0165,0.442,-0.191,,0.251,,,0.452,0.542,1.26,0.758,0.682,6.17,0.25,1.45,4.75,1.71,1.34,1.14,1.21,0.313,0.537,-0.659
