country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0218,-0.0132,0.0239,,,0.703,0.648,0.45,0.392,0.317,0.00265,-0.00009,-0.00695,-0.0759,-0.0519
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,0.0498,0.117,0.0459,2.88,3.28,0.389,1.57,0.676,0.223,0.572,0.696,0.0592,-0.814
Algeria,0.0411,0.0197,0.0296,0.0115,,0.219,0.0169,0.0265,0.00096,0.0468,0.0794,0.0329,0.025,0.03,0.0273,0.00412,-0.00835,0.0226,0.0083,0.0146,0.00756,0.11,,,,,,,0.00208,0.0156,0.025,0.017,0.174,0.0413,0.297,0.0533,0.0675,0.109,0.186,0.156,0.136,0.267,-0.0198,-0.13,-0.00869,0.061,0.0293,-0.00198
Angola,,,,,,,,,,,,,,,,,,,,,0.00802,,0.00227,0.0347,-0.0451,-0.0181,-0.165,0.052,,-0.00143,,,0.801,0.676,3.99,0.777,0.456,1.51,3.05,0.00895,1.62,2.01,2.41,4.84,3.36,1.02,0.286,1.09
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,0.942,0.0778,0.398,-0.346,0.0478,-0.441,-0.137,-2.63,2.83,1.68,1.7,1.53,1.62,1.62,0.192,0.175,0.148,0.326,0.405,0.274,0.366,0.518,0.235,0.0459,0.446,0.0997
Argentina,0.00575,,0.00482,,0.00331,0.00856,0.00301,-0.00176,-0.0396,-0.0852,-0.143,-0.136,-0.0356,0.00192,0.0551,0.0479,0.0101,0.0433,-0.018,0.084,0.0247,,0.51,0.298,0.393,0.58,0.588,1.25,0.778,0.61,0.317,0.0599,-0.642,0.606,0.411,0.66,1.05,0.523,0.385,0.214,0.228,0.281,0.193,0.161,0.365,0.147,0.322,0.181
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,0.00006,0.0128,-0.0112,0.0999,0.344,0.15,0.16,0.583,0.0858,2.13,0.149,0.239,0.138,0.159,0.628,0.193
Australia,0.27,0.232,0.248,0.402,0.271,0.166,0.255,0.242,0.199,0.255,0.307,0.415,0.358,0.293,0.726,1.05,1.88,2.7,2.9,1.01,0.204,-0.36,1.18,0.817,0.567,1.1,1.25,1.4,1.17,0.0802,0.987,3.54,1.77,3.99,1.6,-4.72,3.23,1.69,3.03,1.24,1.58,0.592,0.373,-0.0489,0.387,-0.0222,-0.137,0.697
Austria,0.0563,0.202,0.174,0.131,0.0561,0.0645,0.131,0.167,0.145,0.115,0.123,0.297,0.195,0.262,0.103,0.0627,0.298,0.255,0.213,0.647,1.02,0.744,0.902,0.619,0.61,0.45,0.796,0.939,1.27,1.52,2.8,1.53,2.71,2.62,2.67,25.8,4.79,20.3,6.49,3.89,-3.66,8.84,4.51,2.56,-0.198,-0.58,-7.33,3.72
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,0.0001,0.00045,,0.0144,10.4,15.4,22.8,27.3,30.3,27.5,29.1,9.27,6.22,5.71,5.39,6.43,1.99,2.64,6.05,6.8,6.29
Bahamas,,,,,,,,,,,8.61,-2.66,-4.82,-2.37,0.294,1.34,5.23,0.808,-5.78,0.0131,0.00632,-0.0418,0.00965,0.0097,0.00307,0.00583,-0.00831,0.00632,0.0146,0.0026,1.74,1.13,0.449,0.806,1.87,1.45,3.27,4.32,3.89,2.17,1.48,5.2,1.23,2.61,3.63,1.34,3.03,1.09
Bahrain,,,,,,,,,,,,,0.165,,,-0.202,0.887,0.533,0.691,0.696,7.08,1.08,1.11,0.747,3.57,-0.275,5,0.75,2.92,2.47,0.105,2.41,1.97,6.69,7.88,7.11,5.3,7.68,6.3,-7.81,1.3,3.11,-1.68,-1.63,1.18,-10.3,2.74,-0.649
Bangladesh,,,,,,,,,,,,,,,,,,,,,0.00158,0.00129,0.00032,0.0006,0.00059,0.00448,0.0269,0.00635,0.00601,0.00012,0.00375,0.0382,0.00483,0.00462,0.00625,0.00284,0.00501,0.169,0.208,0.176,0.0576,0.231,0.217,0.365,0.0242,0.0307,0.0183,0.0631
Barbados,,,,,0.0331,0.167,0.184,0.0683,-0.00764,0.0315,0.059,0.107,0.0427,0.113,0.111,0.159,0.177,0.143,0.0521,0.146,0.0692,0.0648,0.0436,0.127,0.0511,0.146,0.147,0.0471,0.0331,0.0432,0.0336,0.0353,0.0148,0.0153,0.111,0.234,1.05,1.82,-0.135,2.39,7.62,6.53,-2.75,1.17,-4.63,3.07,-0.23,-0.576
