country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,376,365,390,400,442,447,527,555,576,640,643,636,626,625,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,1770,1950,2220,2390,2610,2710,2890,3060,3240,3460,3690,3790,3870,4050,4210,4240,4390,4440,4570,4740,4900
Algeria,2850,2470,1770,2180,2200,2230,2040,2200,2390,2550,2640,2310,2870,2890,3020,3070,3210,3280,3470,3560,3490,3480,3590,3690,3770,3790,3730,3610,3430,3490,3430,3250,3250,3150,3040,3060,3110,3130,3260,3300,3330,3480,3590,3810,3890,3990,4040,4270,4350,4340,4450,4440,4450,4470,4550,4610,4780,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1570,1810,1830,1910,2060,2290,2860,2790,3390,3190,3150,3170,3410,3570,3670,3500,3400
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11800,,,,,,,
Argentina,5750,5980,5820,5430,5900,6420,6370,6260,6350,6920,6810,7420,7230,7440,7720,7670,7300,7630,7190,7790,7990,7320,6590,6760,6840,6210,6660,6750,6490,5670,5690,6410,7160,7530,7850,7510,7810,8330,8530,8140,7980,7530,6320,6890,7470,8210,8820,9580,9880,9140,9930,10500,10300,10500,10100,10100,9800,10100
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,1600,756,808,955,1040,1150,1240,1310,1360,1440,1600,1830,2090,2310,2680,3080,3560,3850,3260,3380,3490,3750,3930,4000,4090,4010,4390
Australia,19400,19500,19300,20000,21100,22000,21900,22900,23600,24600,25900,26100,26700,27100,27500,27600,28000,28500,28300,29100,29700,30400,30400,29700,30600,31700,32300,32600,33900,34300,34700,34000,33800,35200,36400,36900,37800,38900,40400,42000,43200,43500,44700,45400,46600,47100,47600,48700,49700,49900,49900,50300,51900,52700,53100,53900,54600,54500
Austria,,,,,,,,,,,19500,20400,21500,22500,23400,23300,24400,25600,25600,27000,27600,27500,28000,28900,29000,29700,30200,30600,31700,32900,34200,34800,35100,35000,35600,36400,37300,37900,39200,40100,41600,41800,42600,42900,43900,44500,46100,47500,48500,46100,47300,48200,48200,48000,48000,47600,48100,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,1400,1220,1210,1280,1400,1480,1550,1690,1850,2040,2170,2500,3220,3780,4460,5180,5490,5290,5440,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500,28200,26500,25700,24900,25300,30000,33100,20800,22000,22800,23200,23800,23400,22800,23000,22800,23200,22800,22500,21300,21300,21200,27800,27300,26600,26600,25700,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21400,21600,20800,18800,18800,17900,18300,19000,18500,21300,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,374,372,381,388,386,393,398,397,398,409,414,427,439,448,461,469,481,495,509,526,542,557,573,596,626,667,710,752,783,819,860,910,949,983,1030,1090,1140
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15600,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,3080,2780,2560,2260,2030,2100,2340,2540,2650,2810,2960,3140,3390,3810,4200,4620,5000,5500,5450,5910,6220,6310,6240,6390,6010,5830,6040
Belgium,,,,,,,,,,,20300,21100,22100,23400,24400,23800,25100,25200,25900,26400,27400,27400,27500,27500,28300,28800,29300,30100,31400,32300,33200,33900,34200,34100,35300,36000,36600,37900,38500,39800,41200,41100,41600,41800,42900,43500,44400,45600,46000,43600,45800,45000,45400,44900,44900,45100,,
Belize,,,,,,,,,,,,,,,,,,,,,,2210,2100,1990,1890,1900,2020,2140,2280,2520,2730,2960,3250,3390,3290,3250,3180,3200,3150,3280,3550,3570,3660,3840,3840,3870,3950,3800,3850,3940,3850,4020,4040,3990,4020,4200,4060,3930
Benin,519,528,502,518,543,562,572,567,575,577,576,554,580,591,600,553,545,558,551,572,592,633,628,579,597,630,626,600,603,562,596,604,587,612,601,617,625,645,657,673,691,706,714,716,726,721,726,746,766,760,752,757,767,800,828,825,838,859
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1260,1340,1390,1440,1510,1600,1820,1850,1910,2060,2170,2200,2240,2330,2400,2570,2740
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,1260,1290,1340,1360,1380,1430,1460,1510,1550,1610,1580,1580,1580,1590,1580,1610,1660,1710,1760,1840,1860,1890,1950,1990,2090,2200,2320,2420,2460
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4280,4540,4840,4720,4690,4740,4750,4950,5030,5220,5390,5560
Botswana,,,,,,,,,,,,,,,,1290,1370,1480,1620,1750,1810,2040,2200,2300,2300,2370,2490,2600,3170,3400,3750,4090,4130,4260,3860,4210,4160,4510,4690,4710,4650,4770,4500,4820,4810,5050,5430,5850,6140,5810,6070,6550,6790,7220,7400,7180,7350,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10900,,,,,,,
