country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,870,920,920,1010,1070,1210,1250,1490,1590,1680,1900,1940,1950,1940,1970,2000
Albania,2720,1950,1830,2130,2400,2830,3180,2900,3300,3770,4150,4600,4870,5250,5650,6060,6830,7490,8270,8670,9540,10200,10500,10800,11400,11500,11800,12100
Algeria,6390,6270,6400,6340,6250,6420,6680,6820,7170,7360,7690,8170,8570,9270,9760,10400,10900,11700,12100,12100,12600,12900,13200,13400,13900,14200,14900,15100
Angola,1980,2240,880,880,690,1550,1560,1890,1880,1730,1860,1940,2280,2370,2580,3040,3580,4480,4810,5200,5210,5360,5550,5900,6130,6250,6090,6060
Antigua and Barbuda,9540,10300,10600,11400,12100,11500,12200,12800,13300,13600,14200,13900,13700,14800,15800,17300,19900,22100,22100,19400,18300,18000,18600,19000,20000,21000,22100,23000
Argentina,6680,7780,8890,9570,10200,9950,10500,11400,11800,11500,11500,11100,9480,10500,11700,13300,14700,16400,17300,16100,17700,19100,19100,19700,19400,19600,19300,20300
Armenia,2330,2230,1130,1180,1420,1580,1780,1950,2080,2190,2380,2690,3130,3650,4150,4970,5870,6960,7690,6590,6890,7270,7950,8490,8790,9090,9020,10100
Australia,16700,17100,17500,18600,19600,20200,21200,22200,23400,24500,25600,26600,27900,28800,30400,31300,33000,34900,35900,38800,37800,40200,41400,44700,45500,45300,45100,47200
Austria,19500,20600,21300,21800,22600,23600,24500,25300,26500,27200,29100,29300,31000,32000,33700,34900,37700,39400,41700,40900,42400,44600,46500,48100,48900,49500,50500,52500
Azerbaijan,,,,3360,2720,2410,2420,2630,2890,3110,3340,3710,4120,4650,5100,6280,8570,10600,12400,13800,14700,14700,15300,16300,17100,17100,16100,16700
Bahamas,18900,18400,18300,18200,18800,23300,26400,16700,18100,19200,20100,20700,21200,21000,21400,22100,22800,23300,23200,21800,21800,22000,29600,29600,29300,29700,29000,29800
Bahrain,19000,26400,27200,29300,28900,31000,32200,31700,32900,33100,34700,34300,33600,34600,35800,37500,38400,39700,39100,35300,36100,35400,36500,38800,38400,44200,44000,42900
Bangladesh,850,890,940,990,1030,1080,1120,1170,1220,1270,1340,1410,1480,1550,1650,1790,1970,2150,2330,2440,2590,2770,2990,3170,3340,3550,3790,4040
Barbados,9120,9050,8660,8890,9410,9730,10300,10900,11400,11500,12000,11900,12100,12600,13000,13700,14700,15600,15700,15200,15700,15400,16200,16300,16500,16700,17200,17800
Belarus,5400,5510,5080,4800,4320,3960,4170,4720,5200,5490,5970,6430,6910,7630,8790,10000,11400,12600,14200,14200,15600,16800,17400,17600,18300,17600,17300,18100
Belgium,18800,19800,20500,20900,22100,23000,23400,24500,25100,26200,28700,29500,31000,31600,32700,33700,35900,37400,39000,38100,41400,41700,43400,44200,44900,45300,46800,48200
Belize,3260,3650,4090,4370,4320,4360,4340,4430,4420,4670,5160,5310,5530,5900,6040,6290,6600,6530,6720,6950,6850,7340,7510,7540,7720,8190,8030,7890
Benin,930,970,970,1030,1030,1080,1110,1170,1200,1250,1310,1370,1410,1440,1500,1540,1600,1690,1770,1760,1770,1820,1870,1990,2090,2110,2170,2260
Bhutan,1410,1410,1480,1590,1780,1850,2000,2170,2100,2190,2800,3020,3250,3450,3650,3970,4310,5060,5230,5440,5940,6380,6600,6820,7230,7520,8160,8850
Bolivia,2280,2440,2520,2630,2770,2900,3050,3180,3330,3320,3400,3480,3550,3610,3770,4020,4280,4510,4830,4910,5070,5330,5540,5910,6320,6720,7100,7330
Bosnia and Herzegovina,,,,,820,1050,2170,3040,4530,4860,5010,5180,5510,5690,6140,6720,7610,8400,9340,9350,9470,9980,10300,11000,11300,11600,12200,12900
Botswana,5100,5750,5960,6310,5760,6450,6490,7150,7540,7660,7750,8120,7710,8430,8660,9450,10500,11600,12300,11800,12500,13800,14600,15700,16400,16100,16700,17000
Brazil,6510,6740,6770,7090,7410,7950,8050,8290,8170,8140,8620,8800,9110,9280,10000,10500,11100,12000,12600,12600,13800,14600,15100,15800,15900,15300,14900,15200
Brunei,54700,56700,59000,59000,60400,62800,64200,62800,61700,63100,65000,67000,69300,71300,72400,73900,78400,80000,79000,77300,78300,80200,81500,80900,80100,83400,83100,83800
Bulgaria,4780,4460,4680,4750,4940,5140,5400,5500,5890,5670,6220,6930,7890,8480,9230,10200,11000,11900,13700,13900,14600,15200,16000,16300,17400,17800,19200,20500
Burkina Faso,540,600,600,610,620,650,720,750,790,840,840,900,920,990,1030,1120,1200,1260,1340,1340,1360,1420,1520,1580,1600,1630,1730,1810
Burundi,690,740,740,700,680,630,580,570,600,590,610,600,620,600,620,630,670,700,730,730,740,770,790,820,840,800,780,770
Cambodia,,,,,,790,820,850,870,960,1050,1140,1200,1310,1460,1670,1890,2120,2260,2240,2360,2530,2710,2940,3120,3290,3510,3760
Cameroon,1870,1770,1710,1590,1600,1640,1700,1770,1850,1920,1940,2000,2090,2220,2400,2450,2580,2680,2770,2810,2840,2940,3030,3150,3340,3450,3540,3640
Canada,19400,19400,19700,20500,21700,22600,23100,24300,25200,26700,28400,29200,30100,31400,33000,35400,37400,38900,39700,38100,39200,40800,41400,43400,44800,44000,44200,46100
Cape Verde,1080,1100,1220,1320,1550,1760,1940,2140,2380,2610,2960,3080,3190,3350,3730,3990,4360,5200,5560,5480,5460,5760,5840,5960,5930,6070,6290,6570
