country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,,,,,,,,,,,,,,,,,1.04,1.14,,,,
Armenia,,,,,,,,,,,,,,,,,3.64,3.79,3.57,3.89,,
Australia,,,,,,,,,,,,,,,,,19.9,,,,,
Austria,,,,,,25.4,25.6,26.7,27.9,28.6,29,30.1,30.1,30.9,33,33.4,34.6,36.5,38.4,39.3,40.5,40.9
Azerbaijan,,,,,,,,,,,,,,,9.14,8.9,8.32,8.79,9.51,10,11.6,11
Belarus,,,,,,,,,,,,,,,,,,116000,,128000,,12.5
Belgium,,,,,,,,,,32.9,33.2,34.8,36,37.8,39.9,41.5,42.9,46.2,48.1,48.7,48.8,48.8
Bulgaria,,,,3.52,3.9,4.37,4.5,4.71,4.94,5.1,5.28,5.4,5.84,6.94,7.56,8.32,8.52,9.67,10.3,11.3,11.7,12.5
Canada,,,,,,,,,,,,,,23.5,24.8,24.6,25.2,25.7,26.8,26.6,27.1,27.7
Chile,,,,,,,,,,,,,,,,10.7,11.6,12.4,13.1,13.3,13.2,13.6
Costa Rica,,,,,,,,,,,,,,,,5.7,6.36,6.58,6.94,,6.79,
Croatia,,,,,,,,,,,,,,,0.1,0.1,0.1,19.5,20.2,20.2,20.5,21.4
Cyprus,,11.2,12.1,12.5,12.7,13.6,14.3,15.1,15.5,16.4,17.6,18.5,19.6,21,22.9,22.9,24.3,23.8,23.7,23.3,23.6,24.3
Czech Republic,7.39,7.85,8.02,8.04,8.52,9.15,10.6,11.2,12.3,12.8,13.4,14,15.3,,16.6,16.7,17.4,18.9,19.7,20.3,20.5,21.2
Denmark,,,,,,,,,,,26.7,28.6,30.4,,,,,38.7,40.5,41.3,41.9,42.5
Estonia,,4.71,5,5.39,5.58,6.06,6.54,7.44,8.18,8.6,9.36,10.5,12,14,,,14.8,16.5,17.6,18.6,19.1,20.2
Finland,,,,,,22.5,,23.4,24.3,25.5,26.7,27.9,29.2,31.5,,,,34.5,35.4,35.8,36.3,36.7
France,,,,,,,,,,,,,,,,,,40.6,42.4,43,43.1,44.2
Germany,,23.5,24,24.4,25.4,26.6,27.7,28.8,29.9,30.7,30.9,32.3,32.9,,35.5,35.9,37.8,38.7,39.9,40.8,41.3,42.3
Greece,,,,,,,,,,,,,,,,,,22.9,23,23.7,23.1,23.5
Hungary,,,,,,,,,11.1,10.3,12.1,13.1,13.8,,15.8,15.3,17.5,17.7,18.4,18.3,18.4,19.1
Iceland,,,,,,,,,,,,,,22.4,21.7,20.9,21.8,27.2,24.6,25.4,26.7,
Ireland,,,,,,,,,,,,,,,28.6,29.6,30.1,36.2,36.7,36.4,36.9,37.5
Israel,,,,,,,,,,,,,,,15.7,16.4,19.8,20.2,21.4,21.1,22,22.1
Italy,,,,,,,,,,,,,,,,,27.6,37,38.1,38.3,37.8,38.5
Kazakhstan,,,,,,,,,,,,,,,,,,,,,0.01,
Latvia,,,,4.73,5.28,6.21,6.63,6.93,6.58,6.61,6.63,7.32,8.26,9.9,,,,11.7,12.4,13.3,14.2,15.1
Lithuania,,,,,,5.76,6.34,7.06,7.66,7.82,8.32,9.56,10.8,,,,,13,14,14.7,15.2,16.2
Luxembourg,,,,,,,,,,31.9,33.2,35.3,36.1,37.7,0.02,0.02,0.02,37.4,39.2,40.9,40.7,41.1
Malaysia,,,,,,,,,,,,,,,,,0.03,0.03,,,,
Malta,,,,,,,,13.3,14,15,15.4,15.4,16.3,,,,,20.4,21.3,21.8,22.1,22
Mauritius,,,,,,,,,,,,,,,,,5.74,6.25,,,,
Moldova,,,,,,,,,,,,,,,3.98,3.98,3.94,4.19,,,4.78,5.04
Netherlands,,,,,,,,,,,,,,,,,36.6,39.4,41.6,41.7,41.7,42
New Zealand,,,,,,,,,,,,,,,17.3,17.3,,,,20,20.1,20.3
Norway,,,,,,,,,,,,,,,,,,46.6,48.7,48.6,47,46
Poland,,8.48,8.39,8.92,9.91,9.86,10.8,11.5,11.9,12.2,12.4,13.2,14.3,,13,14,14.9,18.3,19.2,19.8,20.3,21
Portugal,,,,,,,,,,16.7,17.6,18.9,19.3,20.4,18.6,19.7,19.9,22,22.8,22.8,22.8,23.4
Romania,,,,,,4.48,4.91,5.25,5.08,5.67,6.16,7.1,7.96,,9.03,9.39,9.63,11.8,12.1,12.6,13.1,14.7
Slovak Republic,,4.81,5.55,5.87,5.2,5.5,5.9,6.63,7.06,7.49,8.13,9.28,11.1,,15.1,15.7,16.2,17.6,18.7,20,20.3,21.2
Slovenia,19,18.1,18.4,18.6,18.6,18.1,18.3,18.7,18.7,18.3,18.8,19.8,20.1,,21.6,22.3,23.2,25.7,25.9,26.4,26.4,27.1
Spain,,20.9,19.9,19.6,,19.4,17.8,18.6,19,19.6,20.2,21.9,23,,26.4,26.2,28,30.4,31.4,31.9,31.7,32.1
Sweden,,,,,,,,,,28.5,28.8,30.7,32.2,,,,,37.5,38.5,38.9,39,39.6
Switzerland,,,,,,27.1,,29.8,,30.5,,33.7,,37.7,,38.2,,,,46.5,,
Turkey,,,,,,,,,,,,,,,,,,14.2,,,,
Ukraine,,,,,,,,,,,,,,,,7.96,,,,,,
United Kingdom,,,17.1,17.7,18.5,20.1,21.4,22.5,23,24.1,21.2,22.3,22.5,,23,23.6,23.4,28.9,29.5,29.8,30.8,31.2
