country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Albania,,,,,,,,,,,,1560,18800,26000,35200,89500,112000,130000,89800
Algeria,315,277,269,230,206,204,185,139,144,121,144,142,198,240,306,282,33700,72300,88900
Antigua and Barbuda,,,,,,,,,,,,,,,,3,32400,72100,88600
Argentina,3840,,,,,,,,2450,,3550,,,5860,6320,6460,6630,,
Armenia,,,,,,,,,,214,4890,15600,20400,25100,33900,40300,58300,75700,89600
Australia,17400,20000,19700,21200,22500,24100,26500,27700,28900,30700,35000,37500,43300,48200,57700,63400,80700,95200,107000
Austria,4220,23600,25800,28300,32900,37400,43600,43500,48400,51500,59300,66100,78500,111000,147000,162000,201000,233000,254000
Azerbaijan,,,,,,,,,,,,252,16600,24300,33500,40000,58100,75500,89300
Bahamas,41,45,38,,36,,27,28,31,,,,,,,,,,
Bahrain,65,16,20,,,,,,31,,,,,,,,,,
Bangladesh,166,136,93,121,133,108,108,113,161,107,128,226,,,216,,,,
Barbados,38,239,549,833,1270,1770,3140,4340,5880,8370,12400,15900,20900,26300,35000,41300,58900,76100,89700
Belarus,,,,,,,,,,5720,14300,17300,21100,26000,35300,41800,59400,76700,90600
Belgium,2840,25300,27300,29300,34000,38200,43700,42100,45300,46500,50400,53700,60500,86600,113000,121000,142000,157000,164000
Belize,,,,,6,7,,,,,,,,,,,21300,71700,88500
Bolivia,58,46,,,,,,,,88,117,123,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,3060,23200,34400,41200,59200,76400,89900
Botswana,,6,34,17,29,34,45,68,89,107,87,51,61,93,92,54,15,58,10
Brazil,6720,8380,8360,9610,10200,11000,12400,12800,14200,16900,21200,25800,32100,32000,41600,52300,64700,94000,102000
Brunei,,,,,,,,,,88,,,,,,,,,
Bulgaria,304,5480,6010,5950,5700,6060,6400,5580,7140,9510,13900,17300,22600,28000,36600,43000,60500,77600,158000
Burundi,7,,2,,,2,3,,2,1,4,1,5,,,,,,
Canada,26700,27600,27800,29100,31600,35100,37900,38400,44100,47800,41500,43600,49300,54500,65700,69800,85900,98500,108000
Chile,707,687,697,744,742,833,833,1000,1140,,1650,1720,1960,,,2810,3120,,
China,,8560,8010,8060,9650,9660,,11400,14400,19600,34700,41800,52700,61400,82300,89000,122000,149000,181000
Colombia,540,513,485,584,505,606,,612,695,907,906,1230,1260,,1740,1680,1800,44900,87900
"Congo, Dem. Rep.",94,,86,,74,,,,,,55,18,29,,,,,,
Costa Rica,,,73,45,48,41,66,,,120,,,,,,9110,52400,74400,89200
Croatia,,,,,,,,,1490,1250,861,600,615,712,12900,40300,58900,76500,90300
Cuba,213,229,259,238,342,304,260,24,20,14,152,137,4920,23300,34000,41000,58400,75700,89500
Cyprus,56,43,30,71,50,,43,53,57,,,,,4,77400,119000,140000,154000,162000
Czech Republic,,,,,,,,,,11800,17900,20000,25500,30600,39200,45300,62600,79300,159000
Denmark,6280,8290,8910,8760,11200,10900,39500,39800,44400,47100,55200,62100,74600,109000,146000,162000,201000,233000,254000
Dominica,,,,,,,,,,,,2,,,,8500,52200,74300,89100
Dominican Republic,,,149,,,,,,,,,,,,,,,,
Ecuador,120,,131,99,121,120,,88,107,121,339,278,361,310,,490,11,28900,85300
Egypt,832,839,809,766,664,648,789,787,818,831,836,1100,1210,,1630,1680,1620,1390,1430
El Salvador,96,56,,,,53,54,36,108,85,86,67,,,,,,,
