country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.7,15.3,,,16.6,21.6,7.91,9.56,11.5,10.9,12.1,15,31.1,13.5,12,15,13.9,,,9.21,11.8,,11.2,,,,,,
Antigua and Barbuda,,,,,,,,,,,,12,6.13,19.2,7.58,,,,,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,13.3,16.2,16.8,18.3,19.2,,,,,,,15.6,14.1,14.1,24.9,25,11.8,11.8,11.5,8.73,10.2,10,9.61,9.86,9.16,9.51,10.2,10.6,12.1,10.8,10.6,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76,10.2,,,10.9,11.6,11.9,13.8,19.6,19.7,18,13.2,7.65,5.14,6.55,6.29,5.86,5.56,4.46,5.06,4.98,5.94,5.9,,,,,,,,,,,0.0599,,6.58
Australia,22.3,25.6,24.8,23,24.3,24.8,24.6,24.9,25,25.2,26.8,25.7,25.7,25.3,27.4,28.5,28.9,28.7,29.1,30.3,31.7,30.3,27.6,29.1,28.4,27.3,25.7,26.7,26.4,28.1,26.9,24.7,24.6,20.8,20.6,21.4,20.4,19.3,19.7,19.2,15.7,14.4,13.3,13,12.4,12.4,12.7,11.5,9.12,9.1,9.28,8.77,8.5,7.64,7.1,,7.55,6.86,6.3,6.37,5.75,5.34,5.24,4.67,4.74,4.46,
Austria,,,,,,9.86,20.9,28.8,26.5,28.2,26.5,21.5,19.9,23.2,25.4,23.1,26.2,30.3,31.2,29.9,31.9,35.5,37.2,34.5,30.9,31.1,27.3,26.8,27.3,25.9,29.6,28.1,28,28.4,26.4,22.9,21.3,21.1,21.5,21.2,20.2,19.7,17.2,17.9,18.2,16.6,14.5,14.9,12.7,14.6,13,12.7,10.1,9.97,8.96,8.1,7.34,7.02,6.59,6.06,5.45,4.93,4.93,3.96,3.86,4.15,3.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,12.3,,,11.6,14.9,13.2,16.2,16.5,15.8,14.5,15,12.3,2.06,3.27,5.84,5.53,5.53,4.58,5.23,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,6.52,,9.82,,,,22.2,,,,23.1,23.7,11.5,,,14.6,18.1,,19.1,,,,,,9.68,12,6.15,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,,15.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,4.05,0.491,6.99,7.04,8.05,,7.26,11.8,12.1,16.3,19.8,19.5,15.6,18.8,16.1,21,19.3,8.55,12.4,10.1,13.1,8.66,8.08,11.8,8.87,11.1,10.1,9.54,11.1,9.56,10.1,9.55,10,8.37,5.97,8.31,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,13.9,,,10.6,11,11.7,16,20.5,22.6,23.8,20.8,16.3,15.6,17.1,,16,17.5,16.3,14.4,14.2,,,,,,,,,,,,,,,
Belgium,,,,,10.5,10.8,12.3,13.8,15.9,15.6,18.6,18,17.5,18.4,22.6,23.6,22.9,24.3,25.8,26.3,28.7,28.5,28.7,27.1,25,22.8,23.9,23.3,23.3,25.1,27,25.3,24,24.5,21.4,19.5,22,20.7,20.1,20.4,20.7,20.5,18.8,18.6,20,18,16.2,16.2,1.93,1.21,15.9,15.1,13.2,11.1,10.7,10.1,9.56,10,8.7,8.42,7.48,7.21,5.9,5.87,5.35,5.28,
